,Country,Temperature,Score
0,Afghanistan,13.37,2.523
1,Albania,12.44,5.117
2,Algeria,23.6,4.887
3,Argentina,15.11,5.929
4,Armenia,7.82,5.283
5,Australia,22.05,7.183
6,Austria,7.44,7.268
7,Azerbaijan,12.96,5.171
8,Bahrain,27.69,6.647
9,Bangladesh,25.71,5.025
10,Belarus,7.45,5.534
11,Belgium,10.67,6.834
12,Benin,28.02,5.045
13,Bolivia,20.76,5.716
14,Bosnia And Herzegovina,10.35,5.813
15,Botswana,22.09,3.467
16,Brazil,25.44,6.33
17,Bulgaria,11.35,5.266
18,Burkina Faso,29.26,4.834
19,Burundi,20.51,3.775
20,Cambodia,27.41,4.83
21,Cameroon,24.8,5.142
22,Canada,-4.03,7.103
23,Chad,27.63,4.355
24,Chile,9.39,6.172
25,China,7.59,5.339
26,Colombia,25.0,6.012
27,The Comoros,23.73,4.289
28,Costa Rica,24.83,7.069
29,Croatia,11.96,5.882
30,Cyprus,18.95,6.223
31,The Czech Republic,8.6,6.965
32,Denmark,8.9,7.62
33,The Dominican Republic,24.55,5.545
34,Ecuador,21.43,5.764
35,Egypt,23.14,4.283
36,El Salvador,25.23,6.061
37,Estonia,6.34,6.189
38,Ethiopia,23.36,4.275
39,Finland,2.46,7.842
40,France,11.65,6.69
41,Gabon,25.2,4.852
42,The Gambia,28.38,5.051
43,Georgia,9.01,4.891
44,Germany,9.59,7.155
45,Ghana,27.66,5.088
46,Greece,14.26,5.723
47,Guatemala,23.65,6.435
48,Guinea,25.86,4.984
49,Haiti,24.95,3.615
50,Honduras,24.72,5.919
51,Hungary,11.5,5.992
52,Iceland,1.85,7.554
53,India,24.94,3.819
54,Indonesia,25.96,5.345
55,Iran,18.34,4.721
56,Iraq,22.95,4.854
57,Ireland,9.73,7.085
58,Israel,19.99,7.157
59,Italy,13.22,6.483
60,Ivory Coast,26.8,5.306
61,Jamaica,25.91,6.309
62,Japan,11.78,5.94
63,Jordan,19.52,4.395
64,Kazakhstan,7.11,6.152
65,Kenya,25.08,4.607
66,Kuwait,26.31,6.106
67,Kyrgyzstan,2.65,5.744
68,Laos,24.16,5.03
69,Latvia,6.87,6.032
70,Lebanon,15.45,4.584
71,Lesotho,12.38,3.512
72,Liberia,25.45,4.625
73,Libya,22.81,5.41
74,Lithuania,7.38,6.255
75,Luxembourg,10.02,7.324
76,Madagascar,22.64,4.208
77,Malawi,22.66,3.6
78,Malaysia,26.38,5.384
79,The Maldives,28.11,5.198
80,Mali,29.21,4.723
81,Malta,19.58,6.602
82,Mauritania,28.82,4.227
83,Mauritius,23.33,6.049
84,Mexico,21.31,6.317
85,Moldova,10.89,5.766
86,Mongolia,1.07,5.677
87,Montenegro,9.93,5.581
88,Morocco,18.14,4.918
89,Mozambique,24.41,4.794
90,Myanmar,23.82,4.426
91,Namibia,20.45,4.574
92,Nepal,14.17,5.269
93,The Netherlands,10.49,7.464
94,New Zealand,10.46,7.277
95,Nicaragua,25.88,5.972
96,Niger,28.04,5.074
97,Nigeria,27.3,4.759
98,North Macedonia,10.79,5.101
99,Norway,2.21,7.392
100,Pakistan,21.38,4.934
101,Panama,25.6,6.18
102,Paraguay,23.92,5.653
103,Peru,19.72,5.84
104,The Philippines,26.27,5.88
105,Poland,8.78,6.166
106,Portugal,15.85,5.929
107,Romania,10.18,6.14
108,Russia,-3.79,5.477
109,Rwanda,19.2,3.415
110,Saudi Arabia,25.94,6.494
111,Senegal,28.9,5.132
112,Serbia,11.4,6.078
113,Sierra Leone,26.54,3.849
114,Singapore,27.68,6.377
115,Slovakia,8.83,6.331
116,Slovenia,9.86,6.461
117,South Africa,18.23,4.956
118,South Korea,12.22,5.845
119,Spain,14.07,6.491
120,Sri Lanka,27.25,4.325
121,Sweden,3.23,7.363
122,Switzerland,6.47,7.571
123,Tajikistan,3.85,5.466
124,Tanzania,22.92,3.623
125,Thailand,26.85,5.985
126,Togo,27.33,4.107
127,Tunisia,20.53,4.596
128,Turkey,11.66,4.948
129,Turkmenistan,16.66,5.066
130,Uganda,23.25,4.636
131,Ukraine,9.27,4.875
132,The United Arab Emirates,28.17,6.561
133,The United Kingdom,9.24,7.064
134,The United States,9.46,6.951
135,Uruguay,17.97,6.431
136,Uzbekistan,13.69,6.179
137,Venezuela,25.71,4.892
138,Vietnam,24.79,5.411
139,Yemen,25.54,3.658
140,Zambia,22.23,4.073
141,Zimbabwe,21.9,3.145
